ID,Blight,Common_Rust,Gray_Leaf_Spot,Healthy
image_000180,0,0,0,0
image_000181,0,0,0,0
image_000182,0,0,0,0
image_000183,0,0,0,0
image_000184,0,0,0,0
image_000185,0,0,0,0
image_000186,0,0,0,0
image_000187,0,0,0,0
image_000188,0,0,0,0
image_000189,0,0,0,0
image_000190,0,0,0,0
image_000191,0,0,0,0
image_000192,0,0,0,0
image_000193,0,0,0,0
image_000194,0,0,0,0
image_000195,0,0,0,0
image_000196,0,0,0,0
image_000197,0,0,0,0
image_000198,0,0,0,0
image_000199,0,0,0,0
image_000200,0,0,0,0
image_000201,0,0,0,0
image_000202,0,0,0,0
image_000203,0,0,0,0
image_000204,0,0,0,0
image_000205,0,0,0,0
image_000206,0,0,0,0
image_000207,0,0,0,0
image_000208,0,0,0,0
image_000209,0,0,0,0
image_000210,0,0,0,0
image_000211,0,0,0,0
image_000212,0,0,0,0
image_000213,0,0,0,0
image_000214,0,0,0,0
image_000215,0,0,0,0
image_000216,0,0,0,0
image_000217,0,0,0,0
image_000218,0,0,0,0
image_000219,0,0,0,0
image_000220,0,0,0,0
image_000221,0,0,0,0
image_000222,0,0,0,0
image_000223,0,0,0,0
image_000224,0,0,0,0
image_000225,0,0,0,0
image_000226,0,0,0,0
image_000227,0,0,0,0
image_000228,0,0,0,0
image_000229,0,0,0,0
image_000230,0,0,0,0
image_000231,0,0,0,0
image_000232,0,0,0,0
image_000233,0,0,0,0
image_000234,0,0,0,0
image_000235,0,0,0,0
image_000236,0,0,0,0
image_000237,0,0,0,0
image_000238,0,0,0,0
image_000239,0,0,0,0
image_000240,0,0,0,0
image_000241,0,0,0,0
image_000242,0,0,0,0
image_000243,0,0,0,0
image_000244,0,0,0,0
image_000245,0,0,0,0
image_000246,0,0,0,0
image_000247,0,0,0,0
image_000248,0,0,0,0
image_000249,0,0,0,0
image_000250,0,0,0,0
image_000251,0,0,0,0
image_000252,0,0,0,0
image_000253,0,0,0,0
image_000254,0,0,0,0
image_000255,0,0,0,0
image_000256,0,0,0,0
image_000257,0,0,0,0
image_000258,0,0,0,0
image_000259,0,0,0,0
image_000260,0,0,0,0
image_000261,0,0,0,0
image_000262,0,0,0,0
image_000263,0,0,0,0
image_000264,0,0,0,0
image_000265,0,0,0,0
image_000266,0,0,0,0
image_000267,0,0,0,0
image_000268,0,0,0,0
image_000269,0,0,0,0
image_000270,0,0,0,0
image_000271,0,0,0,0
image_000272,0,0,0,0
image_000273,0,0,0,0
image_000274,0,0,0,0
image_000275,0,0,0,0
image_000276,0,0,0,0
image_000277,0,0,0,0
image_000278,0,0,0,0
image_000279,0,0,0,0
image_000280,0,0,0,0
image_000281,0,0,0,0
image_000282,0,0,0,0
image_000283,0,0,0,0
image_000284,0,0,0,0
image_000285,0,0,0,0
image_000286,0,0,0,0
image_000287,0,0,0,0
image_000288,0,0,0,0
image_000289,0,0,0,0
image_000290,0,0,0,0
image_000291,0,0,0,0
image_000292,0,0,0,0
image_000293,0,0,0,0
image_000294,0,0,0,0
image_000295,0,0,0,0
image_000296,0,0,0,0
image_000297,0,0,0,0
image_000298,0,0,0,0
image_000299,0,0,0,0
image_000300,0,0,0,0
image_000301,0,0,0,0
image_000302,0,0,0,0
image_000303,0,0,0,0
image_000304,0,0,0,0
image_000305,0,0,0,0
image_000306,0,0,0,0
image_000307,0,0,0,0
image_000308,0,0,0,0
image_000309,0,0,0,0
image_000310,0,0,0,0
image_000311,0,0,0,0
image_000312,0,0,0,0
image_000313,0,0,0,0
image_000314,0,0,0,0
image_000315,0,0,0,0
image_000316,0,0,0,0
image_000317,0,0,0,0
image_000318,0,0,0,0
image_000319,0,0,0,0
image_000320,0,0,0,0
image_000321,0,0,0,0
image_000322,0,0,0,0
image_000323,0,0,0,0
image_000324,0,0,0,0
image_000325,0,0,0,0
image_000326,0,0,0,0
image_000327,0,0,0,0
image_000328,0,0,0,0
image_000329,0,0,0,0
image_000330,0,0,0,0
image_000331,0,0,0,0
image_000332,0,0,0,0
image_000333,0,0,0,0
image_000334,0,0,0,0
image_000335,0,0,0,0
image_000336,0,0,0,0
image_000337,0,0,0,0
image_000338,0,0,0,0
image_000339,0,0,0,0
image_000340,0,0,0,0
image_000341,0,0,0,0
image_000342,0,0,0,0
image_000343,0,0,0,0
image_000344,0,0,0,0
image_000345,0,0,0,0
image_000346,0,0,0,0
image_000347,0,0,0,0
image_000348,0,0,0,0
image_000349,0,0,0,0
image_000350,0,0,0,0
image_000351,0,0,0,0
image_000352,0,0,0,0
image_000353,0,0,0,0
image_000354,0,0,0,0
image_000355,0,0,0,0
image_000356,0,0,0,0
image_000357,0,0,0,0
image_000358,0,0,0,0
image_000359,0,0,0,0
image_000360,0,0,0,0
image_000361,0,0,0,0
image_000362,0,0,0,0
image_000363,0,0,0,0
image_000364,0,0,0,0
image_000365,0,0,0,0
image_000366,0,0,0,0
image_000367,0,0,0,0
image_000368,0,0,0,0
image_000369,0,0,0,0
image_000370,0,0,0,0
image_000371,0,0,0,0
image_000372,0,0,0,0
image_000373,0,0,0,0
image_000374,0,0,0,0
image_000375,0,0,0,0
image_000376,0,0,0,0
image_000377,0,0,0,0
image_000378,0,0,0,0
image_000379,0,0,0,0
image_000380,0,0,0,0
image_000381,0,0,0,0
image_000382,0,0,0,0
image_000383,0,0,0,0
image_000384,0,0,0,0
image_000385,0,0,0,0
image_000386,0,0,0,0
image_000387,0,0,0,0
image_000388,0,0,0,0
image_000389,0,0,0,0
image_000390,0,0,0,0
image_000391,0,0,0,0
image_000392,0,0,0,0
image_000393,0,0,0,0
image_000394,0,0,0,0
image_000395,0,0,0,0
image_000396,0,0,0,0
image_000397,0,0,0,0
image_000398,0,0,0,0
image_000399,0,0,0,0
image_000400,0,0,0,0
image_000401,0,0,0,0
image_000402,0,0,0,0
image_000403,0,0,0,0
image_000404,0,0,0,0
image_000405,0,0,0,0
image_000406,0,0,0,0
image_000407,0,0,0,0
image_000408,0,0,0,0
image_000409,0,0,0,0
image_000410,0,0,0,0
image_000411,0,0,0,0
image_000412,0,0,0,0
image_000413,0,0,0,0
image_000414,0,0,0,0
image_000415,0,0,0,0
image_000416,0,0,0,0
image_000417,0,0,0,0
image_000418,0,0,0,0
image_000419,0,0,0,0
image_000420,0,0,0,0
image_000421,0,0,0,0
image_000422,0,0,0,0
image_000423,0,0,0,0
image_000424,0,0,0,0
image_000425,0,0,0,0
image_000426,0,0,0,0
image_000427,0,0,0,0
image_000428,0,0,0,0
image_000429,0,0,0,0
image_000430,0,0,0,0
image_000431,0,0,0,0
image_000432,0,0,0,0
image_000433,0,0,0,0
image_000434,0,0,0,0
image_000435,0,0,0,0
image_000436,0,0,0,0
image_000437,0,0,0,0
image_000438,0,0,0,0
image_000439,0,0,0,0
image_000440,0,0,0,0
image_000441,0,0,0,0
image_000442,0,0,0,0
image_000443,0,0,0,0
image_000444,0,0,0,0
image_000445,0,0,0,0
image_000446,0,0,0,0
image_000447,0,0,0,0
image_000448,0,0,0,0
image_000449,0,0,0,0
image_000450,0,0,0,0
image_000451,0,0,0,0
image_000452,0,0,0,0
image_000453,0,0,0,0
image_000454,0,0,0,0
image_000455,0,0,0,0
image_000456,0,0,0,0
image_000457,0,0,0,0
image_000458,0,0,0,0
image_000459,0,0,0,0
image_000460,0,0,0,0
image_000461,0,0,0,0
image_000462,0,0,0,0
image_000463,0,0,0,0
image_000464,0,0,0,0
image_000465,0,0,0,0
image_000466,0,0,0,0
image_000467,0,0,0,0
image_000468,0,0,0,0
image_000469,0,0,0,0
image_000470,0,0,0,0
image_000471,0,0,0,0
image_000472,0,0,0,0
image_000473,0,0,0,0
image_000474,0,0,0,0
image_000475,0,0,0,0
image_000476,0,0,0,0
image_000477,0,0,0,0
image_000478,0,0,0,0
image_000479,0,0,0,0
image_000480,0,0,0,0
image_000481,0,0,0,0
image_000482,0,0,0,0
image_000483,0,0,0,0
image_000484,0,0,0,0
image_000485,0,0,0,0
image_000486,0,0,0,0
image_000487,0,0,0,0
image_000488,0,0,0,0
image_000489,0,0,0,0
image_000490,0,0,0,0
image_000491,0,0,0,0
image_000492,0,0,0,0
image_000493,0,0,0,0
image_000494,0,0,0,0
image_000495,0,0,0,0
image_000496,0,0,0,0
image_000497,0,0,0,0
image_000498,0,0,0,0
image_000499,0,0,0,0
image_000500,0,0,0,0
image_000501,0,0,0,0
image_000502,0,0,0,0
image_000503,0,0,0,0
image_000504,0,0,0,0
image_000505,0,0,0,0
image_000506,0,0,0,0
image_000507,0,0,0,0
image_000508,0,0,0,0
image_000509,0,0,0,0
image_000510,0,0,0,0
image_000511,0,0,0,0
image_000512,0,0,0,0
image_000513,0,0,0,0
image_000514,0,0,0,0
image_000515,0,0,0,0
image_000516,0,0,0,0
image_000517,0,0,0,0
image_000518,0,0,0,0
image_000519,0,0,0,0
image_000520,0,0,0,0
image_000521,0,0,0,0
image_000522,0,0,0,0
image_000523,0,0,0,0
image_000524,0,0,0,0
image_000525,0,0,0,0
image_000526,0,0,0,0
image_000527,0,0,0,0
image_000528,0,0,0,0
image_000529,0,0,0,0
image_000530,0,0,0,0
image_000531,0,0,0,0
image_000532,0,0,0,0
image_000533,0,0,0,0
image_000534,0,0,0,0
image_000535,0,0,0,0
image_000536,0,0,0,0
image_000537,0,0,0,0
image_000538,0,0,0,0
image_000539,0,0,0,0
image_000540,0,0,0,0
image_000541,0,0,0,0
image_000542,0,0,0,0
image_000543,0,0,0,0
image_000544,0,0,0,0
image_000545,0,0,0,0
image_000546,0,0,0,0
image_000547,0,0,0,0
image_000548,0,0,0,0
image_000549,0,0,0,0
image_000550,0,0,0,0
image_000551,0,0,0,0
image_000552,0,0,0,0
image_000553,0,0,0,0
image_000554,0,0,0,0
image_000555,0,0,0,0
image_000556,0,0,0,0
image_000557,0,0,0,0
image_000558,0,0,0,0
image_000559,0,0,0,0
image_000560,0,0,0,0
image_000561,0,0,0,0
image_000562,0,0,0,0
image_000563,0,0,0,0
image_000564,0,0,0,0
image_000565,0,0,0,0
image_000566,0,0,0,0
image_000567,0,0,0,0
image_000568,0,0,0,0
image_000569,0,0,0,0
image_000570,0,0,0,0
image_000571,0,0,0,0
image_000572,0,0,0,0
image_000573,0,0,0,0
image_000574,0,0,0,0
image_000575,0,0,0,0
image_000576,0,0,0,0
image_000577,0,0,0,0
image_000578,0,0,0,0
image_000579,0,0,0,0
image_000580,0,0,0,0
image_000581,0,0,0,0
image_000582,0,0,0,0
image_000583,0,0,0,0
image_000584,0,0,0,0
image_000585,0,0,0,0
image_000586,0,0,0,0
image_000587,0,0,0,0
image_000588,0,0,0,0
image_000589,0,0,0,0
image_000590,0,0,0,0
image_000591,0,0,0,0
image_000592,0,0,0,0
image_000593,0,0,0,0
image_000594,0,0,0,0
image_000595,0,0,0,0
image_000596,0,0,0,0
image_000597,0,0,0,0
image_000598,0,0,0,0
image_000599,0,0,0,0
image_000600,0,0,0,0
image_000601,0,0,0,0
image_000602,0,0,0,0
image_000603,0,0,0,0
image_000604,0,0,0,0
image_000605,0,0,0,0
image_000606,0,0,0,0
image_000607,0,0,0,0
image_000608,0,0,0,0
image_000609,0,0,0,0
image_000610,0,0,0,0
image_000611,0,0,0,0
image_000612,0,0,0,0
image_000613,0,0,0,0
image_000614,0,0,0,0
image_000615,0,0,0,0
image_000616,0,0,0,0
image_000617,0,0,0,0
image_000618,0,0,0,0
image_000619,0,0,0,0
image_000620,0,0,0,0
image_000621,0,0,0,0
image_000622,0,0,0,0
image_000623,0,0,0,0
image_000624,0,0,0,0
image_000625,0,0,0,0
image_000626,0,0,0,0
